id,quiz_id,pitch_id,transposed_answer_pitch_id
30000,1200,ana3tp,
30001,1200,bna3tp,
30002,1200,bfl3tp,
30003,1200,cna4tp,
30004,1200,csh4tp,
30005,1201,gna3tp,
30006,1201,ana3tp,
30007,1201,bfl3tp,
30008,1201,bna3tp,
30009,1201,cna4tp,
30010,1202,fsh3tp,
30011,1202,gna3tp,
30012,1202,ana3tp,
30013,1202,bfl3tp,
30014,1202,bna3tp,
30015,1203,fsh3tp,
30016,1203,gna3tp,
30017,1203,ana3tp,
30018,1204,fsh3tp,
30019,1204,gsh3tp,
30020,1204,ana3tp,
30021,1204,bna3tp,
30022,1204,bfl3tp,
30023,1204,cna4tp,
30024,1204,csh4tp,
30025,1204,dna4tp,
30026,1204,ena4tp,
30027,1204,efl4tp,
30028,1205,gna3tp,
30029,1205,ana3tp,
30030,1205,bna3tp,
30031,1205,cna4tp,
30032,1205,dna4tp,
30033,1205,ena4tp,
30034,1205,fsh4tp,
30035,1205,gna4tp,
30036,1205,fsh4tp,
30037,1205,ena4tp,
30038,1205,dna4tp,
30039,1205,cna4tp,
30040,1205,bna3tp,
30041,1205,ana3tp,
30042,1205,gna3tp,
30043,1206,cna5tp,
30044,1206,dna5tp,
30045,1206,ena5tp,
30046,1206,fna5tp,
30047,1207,cna5tp,
30048,1207,dna5tp,
30049,1207,ena5tp,
30050,1207,fna5tp,
30051,1207,fsh5tp,
30052,1208,dna5tp,
30053,1208,ena5tp,
30054,1208,fna5tp,
30055,1208,fsh5tp,
30056,1208,gna5tp,
30057,1209,ena5tp,
30058,1209,fna5tp,
30059,1209,fsh5tp,
30060,1209,gna5tp,
30061,1209,ana5tp,
30062,1210,fna5tp,
30063,1210,fsh5tp,
30064,1210,gna5tp,
30065,1210,ana5tp,
30066,1211,fna4tp,
30067,1211,gna4tp,
30068,1211,ana4tp,
30069,1211,bfl4tp,
30070,1211,cna5tp,
30071,1211,dna5tp,
30072,1211,ena5tp,
30073,1211,fna5tp,
30074,1211,ena5tp,
30075,1211,dna5tp,
30076,1211,cna5tp,
30077,1211,bfl4tp,
30078,1211,ana4tp,
30079,1211,gna4tp,
30080,1211,fna4tp,
30081,1212,gna4tp,
30082,1212,ana4tp,
30083,1212,bna4tp,
30084,1212,cna5tp,
30085,1212,dna5tp,
30086,1212,ena5tp,
30087,1212,fsh5tp,
30088,1212,gna5tp,
30089,1212,fsh5tp,
30090,1212,ena5tp,
30091,1212,dna5tp,
30092,1212,cna5tp,
30093,1212,bna4tp,
30094,1212,ana4tp,
30095,1212,gna4tp,
30096,1213,fsh3tp,
30097,1213,gna3tp,
30098,1213,ana3tp,
30099,1213,fna5tp,
30100,1213,fsh5tp,
30101,1213,gna5tp,
30102,1213,ana5tp,
30103,1214,gna3tp,
30104,1214,ana3tp,
30105,1214,bna3tp,
30106,1214,cna4tp,
30107,1214,dna4tp,
30108,1214,ena4tp,
30109,1214,fsh4tp,
30110,1214,gna4tp,
30111,1214,ana4tp,
30112,1214,bna4tp,
30113,1214,cna5tp,
30114,1214,dna5tp,
30115,1214,ena5tp,
30116,1214,fsh5tp,
30117,1214,gna5tp,
30118,1214,fsh5tp,
30119,1214,ena5tp,
30120,1214,dna5tp,
30121,1214,cna5tp,
30122,1214,bna4tp,
30123,1214,ana4tp,
30124,1214,gna4tp,
30125,1214,fsh4tp,
30126,1214,ena4tp,
30127,1214,dna4tp,
30128,1214,cna4tp,
30129,1214,bna3tp,
30130,1214,ana3tp,
30131,1214,gna3tp,
30132,1215,fsh3tp,
30133,1215,gna3tp,
30134,1215,ana3tp,
30135,1215,bfl3tp,
30136,1215,bna3tp,
30137,1215,cna4tp,
30138,1215,csh4tp,
30139,1215,dna4tp,
30140,1215,ena4tp,
30141,1215,efl4tp,
30142,1215,ffl4tp,
30143,1215,fsh4tp,
30144,1215,gna4tp,
30145,1215,ana4tp,
30146,1215,bfl4tp,
30147,1215,bna4tp,
30148,1215,cna5tp,
30149,1215,csh5tp,
30150,1215,dna5tp,
30151,1215,ena5tp,
30152,1215,efl5tp,
30153,1215,fna5tp,
30154,1215,fsh5tp,
30155,1215,gna5tp,
30156,1215,fsh5tp,
